18
-155.2860828529032, 19.41015883863701
-155.2874557362359, 19.40818535766710
-155.2884342370764, 19.40612006724051
-155.2884825844596, 19.40457610175597
-155.2875649648304, 19.40345262597379
-155.2865105417168, 19.40253435559598
-155.2853470855908, 19.40197543093582
-155.2834841311166, 19.40179029644250
-155.2816896100252, 19.40287942866868
-155.2804460381824, 19.40348233009556
-155.2793660102028, 19.40468650566900
-155.2785408727657, 19.40597693222383
-155.2786157303077, 19.40780691252924
-155.2796533893331, 19.40948032776488
-155.2812281368424, 19.41088665836087
-155.2824421102662, 19.41115473848075
-155.2845158153071, 19.41098702193987
-155.2860828529032, 19.41015883863701
